ID,Sex,LHML,LHMLD,LHHD,LRML,LFML,LTML,LTMLD
Indet_1,TBD,304,22.07,39.76,211,423,338,22.48
Indet_2,TBD,347,22.84,,257,462,375,20.99
Indet_3,TBD,282,19.21,40.58,208,390,304,19.47
Indet_4,TBD,307,18.91,45.79,,430,339,21.04
Indet_5,TBD,284,16.92,39.26,205,394,,20.13
Indet_6,TBD,339,25.04,53.85,258,485,405,26.06
Ref_1,M,335,22.34,51.19,,465,374,20.98
Ref_2,F,,,,206,,338,
Ref_3,F,287,21.44,41.9,,414,342,21.51
Ref_4,M,311,15.91,44.89,238,408,337,17.51
Ref_5,F,285,,39.16,,420,336,17.95
Ref_6,F,267,20.55,39.25,204,373,311,20.21
Ref_7,M,311,,,,454,,
Ref_8,M,340,25.15,51.59,254,455,370,22.4
Ref_9,F,274,20.78,40.91,,408,326,20.35
Ref_10,M,344,,51.27,,495,394,24.94
Ref_11,F,288,17.92,39.85,,410,335,18.88
Ref_12,M,309,23.6,48.04,238,453,371,22.05
Ref_13,F,291,17.75,39.77,,416,330,19.73
Ref_14,F,271,18.97,39.17,209,387,305,17.8
Ref_15,F,286,18.03,40.1,,395,308,19.95
Ref_16,M,,23.43,50.21,243,452,370,27.44
Ref_17,F,289,17.06,41.88,,407,327,17.44
Ref_18,F,286,19.86,41.2,215,404,325,18.26
Ref_19,M,338,22.86,49.43,,461,385,22.73
Ref_20,M,327,22.94,47.36,,444,387,25.15
Ref_21,F,302,17.01,40.8,231,446,365,
Ref_22,M,305,21.87,48,,410,345,22.73
Ref_23,F,308,,41.54,228,,359,22.54
Ref_24,M,335,18.83,48.61,,462,375,22.72
Ref_25,M,330,20.54,46.69,,431,365,22.17
Ref_26,F,284,18.89,,202,411,336,20.22
Ref_27,M,319,23.3,50.09,,450,365,
Ref_28,M,327,,47.36,250,439,366,23.31
Ref_29,F,275,17.16,37.95,,410,331,18.17
Ref_30,F,295,17.53,42,218,409,320,20.86
Ref_31,M,334,23.34,46.28,,482,410,25.49
Ref_32,M,291,18.65,42.31,,413,332,21.43
Ref_33,F,274,15.2,39.22,209,398,318,18.86
Ref_34,M,283,17.8,41.6,,,323,19.33
Ref_35,F,300,20.89,43.43,224,428,341,20.26
Ref_36,F,291,13.96,36.51,,402,317,16.69
Ref_37,M,320,23.89,49.72,235,452,353,24.29
Ref_38,F,297,21.48,40.64,,384,322,21.02
Ref_39,F,276,17.83,38.82,211,401,,18.79
Ref_40,M,318,21.16,,,433,338,24.84
Ref_41,F,296,17.92,38.95,229,439,359,18.1
Ref_42,M,339,22.67,50.47,255,477,396,23.13
