,Sex,FLMAX,FPMIL,FDSTT,FDSTAP,FDMILAP,FDMILT,FTDMAX
17 D,M,NA,NA,NA,NA,NA,NA,49.8
17 G,M,457,93,35.6,28.8,29.8,29.4,49.8
19 D,F,395,77,27,25,25.6,23.5,NA
24 G,F,444,81,28.4,27.6,28,23.9,NA
25 G,M,461,84,29.5,25.5,27.6,25.3,44.6
35 D,M,447,92,32.5,28.6,29.6,27.8,48.3
35 G,M,NA,NA,32,27,NA,NA,48.5
2 D,M,NA,NA,31.4,27.7,NA,NA,NA
5-2 D,F,404,74,24.5,25.5,22.5,23.6,NA
8 G,F,382,84,29.9,25.3,26.3,25.5,41.2
9 G,M,426,81,32.2,25.5,27.2,24.9,45
11-2 G,M,444,87,35.1,30.1,27.8,28,45.3
15 D,M,457,92,34.3,26.9,27.9,30.7,49.1
15 G,M,457,95,34.7,28,30.7,31.1,51
27 D,M,452,94,30.2,29,31.6,27.4,45.6
27 G,M,447,93,32.6,28.7,30.9,29,45.9
28  D,F,407,82,28.5,29.1,26.8,25,41.5
28 G,F,415,83,31.1,25.4,27.5,25,41.5
38 D,F,407,78,28.3,32.2,26.3,23.5,NA
38 G,F,409,80,28,28.8,25.5,24.7,NA
11260 G,M,NA,NA,39,30.2,NA,NA,35.6
24 D,TBD,441,78,25.9,28.6,25.4,23.3,45.4
